BREASTS
Slider name: Breasts; Display name: Size; Small default value: 100; BigDefaultValue: 100; inverted: false
Slider name: BreastsSmall; Display name: Smaller; Small default value: 100; BigDefaultValue: 100; inverted: true
Slider name: BreastsSH; Display name: Silly Huge; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsSSH; Display name: New Silly Huge; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsFantasy; Display name: Fantasy; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: DoubleMelon; Display name: Melons; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsTogether; Display name: Push Together; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastCenter; Display name: Center; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastCenterBig; Display name: Center Big; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Top Slope; Display name: Top Slope; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastCleavage; Display name: Cleavage; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastConverge; Display name: Cleavage 2; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastFlatness; Display name: More Flatness; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsGone; Display name: Gone; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastGravity; Display name: Gravity; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: PushUp; Display name: Push Up; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastHeight; Display name: Height; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastPerkiness; Display name: Perkiness; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastWidth; Display name: Width; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsPressed; Display name: Pressed; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastSideShape; Display name: Side Shape; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastUnderDepth; Display name: Under Depth; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastSaggy; Display name: Saggy; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsSpread; Display name: Spread; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastDiameter; Display name: Diameter; Small default value: 0; BigDefaultValue: 0; inverted: false

NIPPLES
Slider name: NippleAreola; Display name: Areola Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: AreolaPull; Display name: Areola Pull; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NipplePuffyAreola; Display name: Puffy Areola; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleUp; Display name: Point Up; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleDown; Display name: Point Down; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleSize; Display name: Size; Small default value: 100; BigDefaultValue: 100; inverted: false
Slider name: NippleLength; Display name: Length; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NipplePerkiness; Display name: Perky; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleTip; Display name: Tip; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleErection; Display name: Erection; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleDistance; Display name: Distance; Small default value: 100; BigDefaultValue: 100; inverted: false
Slider name: NipplePerkManga; Display name: Manga; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleThicc; Display name: Thick; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NipBGone; Display name: Gone; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleInverted; Display name: NippleInverted; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: LeftBreastFuck; Display name: LeftNippleDent; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: RightBreastFuck; Display name: RightNippleDent; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleLeftPinch; Display name: LeftNipplePinched; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleRightPinch; Display name: RightNipplePinched; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleLeftPressed; Display name: LeftNippleSquashed; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleRightPressed; Display name: RightNippleSquashed; Small default value: 0; BigDefaultValue: 0; inverted: false

TORSO
Slider name: NeckSmooth; Display name: Neck Smooth; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChestDepth; Display name: Chest Depth; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChestWidth; Display name: Chest Width; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: RibsProminance; Display name: Ribs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: RibsMore; Display name: Ribs More; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: SternumDepth; Display name: Sternum Depth; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: SternumHeight; Display name: Sternum Height; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BigTorso; Display name: Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Waist; Display name: Waist Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: WaistHeight; Display name: Waist Height; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: WideWaistLine; Display name: Waist Line; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChubbyWaist; Display name: Chubby Waist; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Back; Display name: Back Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BackArch; Display name: Back Arch; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BackWing; Display name: Back Wing; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BackValley; Display name: Back Valley; Small default value: 0; BigDefaultValue: 0; inverted: false

BUTT
Slider name: ButtShape2; Display name: Shape Lower; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtCrack; Display name: Crack; Small default value: 100; BigDefaultValue: 100; inverted: false
Slider name: Butt; Display name: Size; Small default value: 100; BigDefaultValue: 100; inverted: false
Slider name: ButtSmall; Display name: Smaller; Small default value: 100; BigDefaultValue: 100; inverted: true
Slider name: BigButt; Display name: Big; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChubbyButt; Display name: Chubby; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: AppleCheeks; Display name: Apple; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: RoundAss; Display name: Round; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: CrotchBack; Display name: Move Crotch; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Groin; Display name: Groin; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtSaggy; Display name: Saggy; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtDimples; Display name: Dimples; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtUnderFold; Display name: UnderFold; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtConverge; Display name: Converge; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: AnusSpread; Display name: Anus Spread; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: AnusSize; Display name: Anus Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: AnalPositionlow; Display name: Anus Reposition; Small default value: 0; BigDefaultValue: 0; inverted: false

LEGS AND FEET
Slider name: LegsThin; Display name: Thin; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: SlimThighs; Display name: Slim; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Thighs; Display name: Thighs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ThighApart; Display name: Thighs Apart; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ThighOuter; Display name: Thighs Outer; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ThighThicker; Display name: Thighs Thick; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ThighInnerThicker; Display name: Thighs Inner; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ThighFBThicker; Display name: Thighs FrontBack; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChubbyLegs; Display name: Chubby; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Legs; Display name: Size; Small default value: 100; BigDefaultValue: 100; inverted: false
