FULL BODY
Slider name: VanillaSSELo; Display name: Vanilla SSE Low; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: VanillaSSEHi; Display name: Vanilla SSE High; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: OldBaseShape; Display name: Old Shape; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: 7B Lower; Display name: 7B Lower; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: 7B Upper; Display name: 7B Upper; Small default value: 0; BigDefaultValue: 0; inverted: false

SEAMS
Slider name: AnkleSize; Display name: Ankle Size; Small default value: 100; BigDefaultValue: 0; inverted: false
Slider name: WristSize; Display name: Wrist Size; Small default value: 100; BigDefaultValue: 0; inverted: false

BREASTS
Slider name: Breasts; Display name: Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsSmall; Display name: Smaller 1; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsSmall2; Display name: Smaller 2; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsNewSH; Display name: Silly Huge; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsNewSHSymmetry; Display name: Silly Huge Symmetry; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsFantasy; Display name: Fantasy; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: DoubleMelon; Display name: Melons; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsTogether; Display name: Push Together; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsConverage_v2; Display name: Converage; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastCenter; Display name: Center; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastCenterBig; Display name: Center Big; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastTopSlope; Display name: Top Slope; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastCleavage; Display name: Cleavage; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastFlatness2; Display name: Flatness; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastFlatness; Display name: More Flatness; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsGone; Display name: Gone; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastGravity2; Display name: Gravity; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: PushUp; Display name: Push Up; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastHeight; Display name: Height; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastPerkiness; Display name: Perkiness; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastWidth; Display name: Width; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastSideShape; Display name: Side Shape; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastUnderDepth; Display name: Under Depth; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BreastsPressed_v2; Display name: Pressed; Small default value: 0; BigDefaultValue: 0; inverted: false

NIPPLES
Slider name: AreolaSize; Display name: Areola Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: AreolaPull_v2; Display name: Areola Pull; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleUp; Display name: Point Up; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleDown; Display name: Point Down; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleSize; Display name: Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleSquash1_v2; Display name: SquashX; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleSquash2_v2; Display name: SquashY; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleLength; Display name: Length; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleManga; Display name: Defined; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NipplePerkiness; Display name: Perky; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NipplePerkManga; Display name: Puffy; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NipplePuffy_v2; Display name: More Puffy; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleShy_v2; Display name: Shy; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleTip; Display name: Tip; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleTipManga; Display name: Twist; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleThicc_v2; Display name: Thicc; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleTube_v2; Display name: Tube; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleDistance; Display name: Distance; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleDip; Display name: Dip; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleCrease_v2; Display name: Crease; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleCrumpled_v2; Display name: Crumpled; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleBump_v2; Display name: Bump; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NipBGone; Display name: Gone; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NippleInvert_v2; Display name: Invert; Small default value: 0; BigDefaultValue: 0; inverted: false

TORSO
Slider name: Clavicle_v2; Display name: Clavicle; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChestDepth; Display name: Chest Depth; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChestWidth; Display name: Chest Width; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: RibsProminance; Display name: Ribs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: RibsMore_v2; Display name: Protruded Ribs; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: SternumDepth; Display name: Sternum Depth; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: SternumHeight; Display name: Sternum Height; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BigTorso; Display name: Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Waist; Display name: Waist Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: WaistHeight; Display name: Waist Height; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: WideWaistLine; Display name: Waist Line; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ChubbyWaist; Display name: Chubby Waist; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Back; Display name: Back Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BackArch; Display name: Back Arch; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BackValley_v2; Display name: Back Valley; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: BackWing_v2; Display name: Back Wing; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: NavelEven; Display name: Navel Even; Small default value: 0; BigDefaultValue: 0; inverted: false

BUTT
Slider name: ButtClassic; Display name: Shape Classic; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtShape2; Display name: Shape Lower; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtCrack; Display name: Crack; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: Butt; Display name: Size; Small default value: 0; BigDefaultValue: 0; inverted: false
Slider name: ButtSmall; Display name: Smaller; Small default value: 0; BigDefaultValue: 0; inverted: false
